src,target
19 18,19 37 18
13 12,37 11 25 49 13 12 12
4 7,28 19 37 4 22 10
20 10,0 0 0 0 0 0 0
13 12,6 7 7 1 5 6
1 3,1
19 19,19 19 7 38
14 1,4 1
20 17,2 14 5 4 4 20 5 2
12 12,2 2
5 11,7 9 5 5 9 1 7
3 14,3
11 15,6 5 1
2 12,2 6 4 4
7 7,0 7 5 1 4 9 6
13 1,13 1
15 5,5 5
6 13,7 8 7 8 7 8 7
3 8,3 13 28 18 23 8
10 12,12 10 22 6 34
6 12,2 6 5 1 3
4 3,4 2 1 2 0
1 12,12 1
3 18,21 18 3
15 19,15
9 6,5 4 4 5 4 5 5 4 5
16 3,49 36 62 3 10 16 23 75 88
17 12,0 2 4
20 7,32 45 6 20 7 19 71 58
15 3,3 5 4
18 13,3 3 1 2 8 4
19 15,34 19 15
18 6,8 2 6
12 4,8 4 4 4 8 8 8 4
13 1,1 2 1 2 2 0 1 3
2 12,2 12
4 10,2 7 5 0 4 3 1 6
9 14,4 2 9
9 18,17 45 18 27 39 45 9 6 22
8 10,18 12 24 30 36 20 32 8
3 2,7 2 3
14 7,21 14 0
2 17,3 4 5 8 6 0 1 9 7
2 6,10 34 22 2 26
16 5,1 1 6 5
3 11,1 2 2 0 0 3 1 2 1
10 13,1 0 0 1 2 2 3 0
9 2,2 6 6 9 0
12 3,3 12 6
2 20,2 0 2 0 2
12 5,6 6 0 0 6 6 0
19 13,9 3
19 20,0 1 9 3 8
15 8,15
9 18,36 9 27 45 18
10 4,0 2 1 6 5 7 4
6 19,3 1 6 9
15 2,2 1 3 5 2
7 11,27 13 1 7 25 5 31 39 15
10 20,30 10 10
14 6,40 14 6 18 22 46 26 20
5 8,5 20 11
15 17,5 5 5 5 5 2 5 5 5
18 3,57 12 42 18 3 27
17 9,17
20 12,20 4 12 28 12 20 36 4
13 5,6 5 3 5 6 3
15 1,1 15
16 1,16 17 1
14 8,8 14 22
19 4,23 4 27 19 0
8 19,12 30 13 8 40 46 24 29
15 2,28 11 15
12 7,7 3 0 3 2 2 6 4 7
19 20,9 0
15 13,13 7 5 9 15 11
7 8,18 12 13 15 19 9 7
15 9,40 24 15 33 7 9
4 4,2 6 1
18 8,0 0 8 8 0 0 0
5 4,0 1 5 3
5 14,4 0 9 1 2 7
1 3,1
5 7,5 5 5 5 3 3 7 7 5
6 16,56 26 46 76 86 36 16 6 66
11 11,1
4 20,8 0 9
18 6,8 0 1 0
9 8,9 17 8
19 6,20 59 7 72 46 33 19 85 6
16 19,4 35 43 19 39 32 16
18 13,25 44 18 31 13
5 6,6 5 6 3 6 5 5 3
20 13,0
10 14,24 10 14 38 12
8 12,6 5 8 2 3 1 9 0 7
13 14,27 14 13
9 20,49 29 5 27 9 20 28
16 18,8 6 5 7 7 8 4 0
20 8,1 0 8 1
3 7,21 36 27 15 44 3 10 7 17
6 5,5 1 2 3 0 1 4 6
3 15,25 27 3 13 49
14 18,8 6 4 6
12 6,0 12 12 18 12 0 18 18 0
17 10,17 10 37 27
2 17,32 2 12 22 7 27 42 17 32
17 15,11 13 15 17 9
10 6,6 22 38 16 10 10
6 6,2 6 2 6 2 6 6
5 9,5 9
18 17,10 12 18 6 13 16 7 4 1
1 11,1
1 5,5 1
12 6,0 12 18 12 12 0 18 0 18
11 12,5 3 2 1 4
20 15,20 35 35 20 15 5 35 0 25
15 11,11 15 26 37
4 6,6 4 10
3 2,3 7 3 0 6 7 2
7 15,15 23 7
16 19,0 9 0 0 0 6 0
4 14,4 14 24
12 18,42 12 24
3 16,3
17 12,0 3 2 7 3
7 12,17 7
15 12,2 0 4 5 2
8 6,6 20 8 14 34
5 13,0 5 3 3 5 5 4 4
6 6,30 18 26 48 6 12 6 28
19 9,1 7 8 9 2 1
16 9,12 16 5 9 2
3 3,3 15 39 9 6 3 24
1 19,39 20 1 19
13 15,3
16 14,16 12
16 7,16 7 2
13 16,49 14 46 31 37 19 28 13 5
18 18,30 18 20 29 23 26 24
1 7,0 9 7 9 8 0 8
19 2,19 19 36 15 19 36 15
6 5,3 3 0 0 3 0 3
5 16,5 16 21
1 13,3 4 4 5 3 1 2
8 10,8 1 0
17 15,7 7 5 5 2
12 1,1 1 1 1 2 2 1 2 2
1 8,1
19 2,19 2 21
14 15,14
8 2,22 10 4 16 8 2
11 5,2 4 4 2 1 0 1 0 5
6 16,6
19 14,33 14 19
19 12,2 1 9 3 4 4
1 20,2 0 3 1
9 15,9 15
9 14,9 2 3 3 4
14 9,2 3 3 9 4
8 2,8 2 10
5 3,5 3 1 3 3 1 1 3
4 6,4
12 9,9 12
15 1,1 13 15
18 13,18 13
4 9,34 14 29 44 4 14 24 9
14 18,26 30 22 14 34 38 18
7 18,29 23 7 12
18 11,1 1 1 8 2 2 0
6 16,6 6 26 36 26 16 16
2 9,23 30 9 2 16 37 44
4 9,4 9 8 4
9 15,3 1
15 3,15 27 27 15 9 9 15 9
11 5,5 11 16
13 20,13 20
20 7,58 32 20 6 7 19 45
17 13,2 2
10 1,1 0 1 2
17 14,31 47 14 45 21 17 26
12 8,12
1 8,15 43 36 7 1 28
14 14,2 1 6 9 1 5 0 3 8
4 3,4 7 3
2 14,2 3 0 4 3 0 4
20 12,20 20 4
19 18,4 3 5 2 3
7 14,21 42 49 7
18 1,18
8 13,3 8 1 1 1 0 2 2
5 17,5 15 23 49 29 27 37 1
3 16,29 16 3
4 20,4 20
1 8,22 1 15 8
13 8,4 1 1 0 2 5
9 20,8 1
14 4,4 5 4 3 5 4 0 4 5
5 8,17 11 8 14 5
17 8,8 7 1 5 5 2
14 20,12 36 30 44 0 26 14 48
11 16,43 11 16 27
17 11,17 29 6 23 17 11 28 39 2
19 10,1 26 17 19
13 8,3 12 12 3 3 7 12 13 7
17 2,3 0 2 7
11 7,11 43 18 18 7 25
13 19,3 2 4 3 3 0 2 9
3 12,30 48 66 21 57 75 12 39 3
20 4,4 20
11 13,37 13 24 11 11
15 20,20 35 15
15 7,22 7 15
19 1,37 19 19 17 19 37 17 17
14 14,14 20 42 14 28
1 19,41 1 37
11 5,5 16 11 21
9 3,9 3 39 3 9 33 21 15 27
13 10,13
20 15,0 3
11 19,2 4 9 3 4 1 3
16 11,16
19 11,11 19
6 7,11 6 8
10 2,18 10 6
14 16,14
12 1,1 2
19 14,6 1 9 6 1 19 9
9 2,19 12 26 33 2 9 5 40
12 15,2
9 14,10 37 23 9 14 47
9 12,9 15 12
6 7,6 2 5 2 6 7
9 15,5 1 9 1 3
7 10,0 7
19 2,1 1 9 1 2 2 2 0
13 19,25 43 49 13
19 11,19 11
9 16,9 41 16 16 25
13 19,33 19 32 13 1
10 12,32 20 26 10 22 34 14
17 12,17
7 4,14 11 4 5 7 1 8 2
3 1,3 6 5 2 4 1
15 4,15 7 29 4 40 51 18
7 4,9 8 2 3
14 7,7 21 0 14 7 14
1 6,7 7 8 6
5 3,5
5 14,32 5 50 23 41 14
4 3,4 0 3 1 2 2 1
19 14,9 1 9 1 19 6 6
11 4,4 1
3 6,1 1 1 8 8
16 8,16 32 38 6 24 26 32 44 8
11 8,11 8
16 19,0 0 0 9 0 0 6 0
4 2,4 8 8 0 2 4 7
15 12,15 12
19 4,27 0 27 23 4 19
3 11,3 11
2 18,8 2 7 4 0 8 6 7
20 3,0 4 6 0 8 2
11 10,2 0 1 3 1
14 14,14 32 14 42 12 20 28
20 17,0 4 3
12 13,13 13 12 1 29 15 14 38 25
8 20,26 0 24 28 20 8 48
1 16,31 21 1 41 26
16 6,6 6 28 22 0 28 28 16
3 16,4 8 4
8 18,8 0 0 8 0 0
4 3,4 3
2 19,0 2 2 1 1 9 1
11 11,11 11 11
7 6,7 6
11 15,3 1 5 5 3 3 3 1
9 3,3 9
6 5,6 4 3 5
10 11,10 13 11 12
8 15,8 36 22 43 15 29
13 14,15 17 18 14 16 13
6 6,11 17 20 14 23 12 6 18 8
17 15,17 13
1 16,7 3 1 6 8 2
15 20,25 15 45 30 35 20 40
7 7,7 7 7 7
4 15,48 70 59 15 37 4 26
16 20,36 16 40 24 22 10 14 48
5 20,5 35 50 65 20 80 10 95
14 1,15 14 1
13 14,9 3 1 8 2
2 11,48 11 37 9 24 2 13 7 11
3 12,6 6 3 3
4 10,0 12 24 12 14 38 12 10 4
16 5,8 0 1 9 0 3 2 1
11 6,17 6 13 40 16 3 11 23
19 16,0 0 0 6 9 0
13 2,3
3 2,6 6 6 6
17 9,17 9
13 1,1 13 23 11
7 9,7 23 25 41 16 16 9 30 7
11 16,7 1 6 8 9
20 2,2 20
16 6,44 24 4 34 16 6 14
16 4,6 6 8 7 0 4 7 5 9
19 1,1 19
11 4,19 4 11 15 40 3 34 37
7 10,9 2 0 0 1 7 8
6 4,2 4 6 2
20 9,8 2 2 4 0 4 1 0
2 12,22 14 2 6 26 40 12 16
20 17,4 0 7 3 4 0
6 15,21 6 15
4 6,8 10 4 6
14 15,14 23 15 29 44
16 17,16 17 18 19
20 5,20
5 8,6 4 0 2
4 4,4 4 4 4 4
6 5,6 5
15 2,15 2 76 50 37 24 11 89 63
9 19,9 9 0 0
4 17,4
12 19,12 31 19 31 0 31
10 19,1 0 9 2 0 1
2 9,30 2 16 23 51 44 9 37
2 4,1 4 2 6
7 16,25 15 29 7 6 11 2
3 8,2 4 4 2 2 4 2
20 19,0 4 4 8 2 2 3 0
6 2,6 2
1 19,5 19 9 20 12 7 39 48 1
5 3,5 1
17 10,7 7 0 5 8
11 4,6 4 4 6
14 2,34 14 2 2 18 16 36
3 13,2 3 1 1 4 3 2 3
19 6,19 33 46 6 7 59 72 20
13 3,13
4 5,4 0 3 3 5 1 4
17 4,17
12 20,4 0 2 3 2
20 7,8 4 4 3 3 0 5 7 5
16 6,2 6 2 2 6 2
11 19,9 49 27 25 7 11 1
2 7,7 2
13 17,4 3 1 2 7 4
8 19,46 8 40 30 29 24 13
18 15,0 2 0 7 7
2 8,28 2 18 8 10
8 12,8 2 8 3
1 19,1
11 10,2 1 0 1
3 13,29 24 3 45 16 13
13 17,1 4 2 3 2 2
12 4,4 4 4 20 20 12 12 12 20
10 15,35 20 15 25 30 10
12 11,3 1 2 3
13 2,13 24 9 13
8 14,8 14 22
15 8,0 1 5 8 1
17 2,17 17 32 13
20 19,0 9 3 3 4 2 0
7 15,7 3 5 1
2 10,26 2 18 10
12 2,2 2 2 0
16 17,17 16
8 17,3 1
4 13,3 6 4 5 7 9 2 8 5
16 14,16 6 12
17 5,17 17 7 29
16 1,7 2 6 8 3 1
7 15,15 47 31 39 63 7 23 55
7 8,6 7 8 5 6 7 8
14 11,14 5 11 8
19 1,1 53 17 35 19
3 18,3 28 43 33
2 14,14 2
19 11,5 19 13 21 3 11
20 9,20
14 20,2 8 4 8 3 4 0
10 12,18 22 12 16 14 20 10
4 15,19 4 15 34
18 12,2 8
14 11,14
6 13,3 2 4 6 7 0 3
5 3,1 5
2 5,12 31 0 2 19 5 7 31 31
15 4,1 4 5 5 6 1 0
10 1,1
14 18,18 14
15 1,15 27 13 1
6 16,6 6 2 2 2 2 2
16 4,16 28 8 16 28 8
13 13,3 1 3 3 1 3 5
1 19,41 37 1 9
9 16,15 9 43 36 7 44 28 23 1
3 4,4 3
2 5,2 1 2 0 0 1 5 1
13 20,48 20 34 69 55 13 41 27 62
6 13,20 48 6 12 41
4 3,2 1
10 11,11 10
7 15,7 37 22 15 9
14 5,14 5 13 40 4 22 31
4 19,4 7 15 23 22 42 19 29
13 14,13
14 7,7 49 14 28 21
14 4,3 0 2 1 8 6 5 9 7
2 15,32 49 15 2 17
10 11,16 12 18 10 21 15
20 7,6 0 0 2 1 6 8 4 4
1 12,2 1
4 8,0 4 0 8 4 0 4 4 4
7 8,8 7 7 5 8 6 6
4 7,9 8 3 2
19 1,19
20 13,15 13 6 22 8 1 20 29
12 2,8 8 12 12 22
3 8,4 2 2 4 4 2
19 20,24 25 21 19 27
6 11,16 46 11 16 26 36 6 31
3 15,19 18 34 3 1 35 15 33
1 12,13 12 1
12 4,4 20 12 12 4
9 18,45 22 39 17 27 45 9 6 18
14 1,14
11 2,34 16 25 2 11 7
20 2,2 0 0 0 2 2 0
12 10,0 2 2 0 0 2
20 11,2 11 20
16 6,0 7 1 6 8 2 9 9
19 5,9 5 0 6
14 9,2 1
16 2,30 16 12 12 16 30 16 12
18 19,18 19 20
9 17,5 9 7 1 7 7 7 5
3 17,3 31 17
14 18,14 38 8 46 12 22 34
2 10,2 26 10 34 18
11 1,13 12 13 38 1 14 1 25 11
14 20,4 3 0 2 8 4 8
18 20,22 28 18
2 4,8 0
14 11,4 1 5 8 14 2
9 11,2 1 7 7 2 3 9 5
16 10,16 10 26
13 8,1 1 0 8 2 1 3 2
14 13,14
9 12,9 21 4 33 12
7 10,44 27 21 7 10 15 17
5 20,20 35 5 50 10 80 65 95
18 6,18 42 6 30 54 6 18
13 13,1
13 18,1 4 3 4 3 8 2 3 5
9 5,1 11 7 7 9 11 1 1
15 19,37 34 3 27 15 19 40
3 12,3 3 2
6 1,1 6 4 19 14 24 9
3 2,6 6 6 6 6
13 3,4 3 3
7 12,37 47 32 17 7
6 20,26 24 6 10 34 40 18
4 13,22 4
15 20,0 0 0 3 0 0 0 0 0
8 15,22 0 8 43 14
16 14,12 8 10 14 16 4 6
7 8,12 7 19 21 15 18 24 13 9
2 7,42 12 27 2 32 12 7
12 1,14 1 13 12
16 6,26 26 4 4 16 16 4 16
8 4,16 16 8 44 22 28 4 12
20 11,4 1 1 5 2 5 0 0
4 15,15 37 4 48 70 81 26 92 59
18 7,2 6 2 1
17 7,23 53 7 3 43 13 17 33 63
1 2,7 5 1 4 8 3 6 2
18 14,24 18 32 14 2 28 46
5 20,45 25 5 20 20
18 1,18 1 19
1 16,1 41 16 31 26 21
10 11,21 18 16 10 15 12 22 24
19 2,2 1 1 2 1 2 9 0
3 15,15 18 3
8 15,22 8 36 15 29
10 6,38 22 10 6 16 10
14 18,14
20 4,0 2 0 2 4 2
8 4,28 16 8 4 12
8 18,8 18
15 4,4 1 1 5 6 5 0
12 17,29 12 21 25 46 13 17 46 17
9 5,0 2 1 1 1 2 5 0 9
5 11,1 5 9 1 7 7 5 9
16 18,16 2 34 36 18
6 10,0 6 6 0 6
2 14,6 0 4 4 8 2 8 2
20 13,46 33 13 20
7 10,9 8 1 2 7 0
19 9,19
5 20,25 5 20
6 12,12 6
12 13,6 1 5 5
8 5,1 2 8 5
12 17,12 17 46 29
10 1,10
16 8,0 0 16 24 24 24 0 16 16
12 6,12 6
19 13,2
16 9,4 1 4
20 1,1 22 20 21
11 14,1
18 12,8 2 1 2 4
4 12,20 4 12 28 44 36
5 9,13 5
11 11,11 11 11 11 11 11 11
8 2,8 10 2
19 5,9 19 33 19 33 9
19 6,20 6 7 19
10 16,10 22 16
12 17,13 46 25 46 17 12 21 17 29
20 16,2 6 2 0 0 0 0
18 18,23 26 20 24 32 30 29 18
13 19,43 37 55 31 19 25 61 13 49
16 11,9 4 16 6
11 3,5 11 19 11
14 13,12 9 10 11 14 13 8
8 18,8 8
12 10,8 0 2 4 2 12
9 8,42 8 25 17 9 17 9
15 11,5 1 7 7 1 15 5 7
8 10,10 12 8
7 9,7
5 1,3 1 5
16 8,9 1 5 8 3 2 4 1 0
11 16,21 11 36
12 5,5 12
8 2,2 40 34 10 22 16 4 8 28
19 3,7 8 7 5 9 8 0 6
19 4,8 7 7 6
11 9,7 9 11
2 3,4 2
19 4,1 4 1 9 4 3 3 2
5 17,5 17
4 11,5 4 4 5
